Motif	Factor	Evidence	Curated
M00008_2.00	GJ10103	PBM	N
M00008_2.00	GL19819	PBM	N
M00008_2.00	GK14031	PBM	N
M00008_2.00	GF18425	PBM	N
M00008_2.00	GL22342	PBM	N
M00008_2.00	GE25566	PBM	N
M00008_2.00	D1	PBM	N
M00008_2.00	GI21631	PBM	N
M00008_2.00	GG17392	PBM	N
M00008_2.00	GE24795	PBM	N
M00008_2.00	GA22003	PBM	N
M00008_2.00	GG23086	PBM	N
M00008_2.00	GM26279	PBM	N
M00008_2.00	GI22500	PBM	N
M00056_2.00	GJ16953	PBM	N
M00056_2.00	GA22090	PBM	N
M00056_2.00	GM21108	PBM	N
M00056_2.00	GJ17468	PBM	N
M00056_2.00	GG20822	PBM	N
M00056_2.00	GI23117	PBM	N
M00056_2.00	GJ16592	PBM	N
M00056_2.00	GJ16596	PBM	N
M00056_2.00	GF23072	PBM	N
M00056_2.00	GL17417	PBM	N
M00056_2.00	GJ16498	PBM	N
M00056_2.00	GJ15837	PBM	N
M00056_2.00	GM21128	PBM	N
M00056_2.00	GF11812	PBM	N
M00056_2.00	GI23866	PBM	N
M00056_2.00	GF12058	PBM	N
M00056_2.00	GL17416	PBM	N
M00056_2.00	GE23858	PBM	N
M00056_2.00	GI24523	PBM	N
M00056_2.00	GK22225	PBM	N
M00056_2.00	GH24457	PBM	N
M00056_2.00	GI21809	PBM	N
M00056_2.00	GF23351	PBM	N
M00056_2.00	GK22873	PBM	N
M00056_2.00	GJ20984	PBM	N
M00056_2.00	GJ20457	PBM	N
M00056_2.00	GL18888	PBM	N
M00056_2.00	GG20207	PBM	N
M00056_2.00	GA17785	PBM	N
M00056_2.00	GJ20363	PBM	N
M00056_2.00	GI20720	PBM	N
M00056_2.00	GM15769	PBM	N
M00056_2.00	GJ19274	PBM	N
M00056_2.00	GM15784	PBM	N
M00056_2.00	GE17683	PBM	N
M00056_2.00	GI21047	PBM	N
M00056_2.00	GA19478	PBM	N
M00056_2.00	GL18872	PBM	N
M00056_2.00	GM16736	PBM	N
M00056_2.00	GD10802	PBM	N
M00056_2.00	GH17865	PBM	N
M00056_2.00	GI21136	PBM	N
M00056_2.00	GG20821	PBM	N
M00056_2.00	GJ18584	PBM	N
M00056_2.00	GA19529	PBM	N
M00056_2.00	GM16755	PBM	N
M00056_2.00	GJ18251	PBM	N
M00056_2.00	GI21624	PBM	N
M00056_2.00	GI21780	PBM	N
M00056_2.00	GL18665	PBM	N
M00056_2.00	GJ17788	PBM	N
M00056_2.00	GJ17771	PBM	N
M00056_2.00	GK23335	PBM	N
M00056_2.00	GH23656	PBM	N
M00056_2.00	GM15768	PBM	N
M00056_2.00	GF15246	PBM	N
M00056_2.00	GG24732	PBM	N
M00056_2.00	GL10922	PBM	N
M00056_2.00	GL11298	PBM	N
M00056_2.00	GH23067	PBM	N
M00056_2.00	GF19455	PBM	N
M00056_2.00	GG24714	PBM	N
M00056_2.00	GL11415	PBM	N
M00056_2.00	GG22644	PBM	N
M00056_2.00	GG23943	PBM	N
M00056_2.00	GL12006	PBM	N
M00056_2.00	GD19218	PBM	N
M00056_2.00	GE26064	PBM	N
M00056_2.00	GF19454	PBM	N
M00056_2.00	GL13041	PBM	N
M00056_2.00	GG23425	PBM	N
M00056_2.00	GF19173	PBM	N
M00056_2.00	GK23788	PBM	N
M00056_2.00	GD10643	PBM	N
M00056_2.00	GD18113	PBM	N
M00056_2.00	GD16257	PBM	N
M00056_2.00	GF18562	PBM	N
M00056_2.00	GL14568	PBM	N
M00056_2.00	GD11547	PBM	N
M00056_2.00	GA23014	PBM	N
M00056_2.00	GL16530	PBM	N
M00056_2.00	GG22770	PBM	N
M00056_2.00	GG22067	PBM	N
M00056_2.00	GD21441	PBM	N
M00056_2.00	GL10677	PBM	N
M00056_2.00	GE25524	PBM	N
M00056_2.00	GF12559	PBM	N
M00056_2.00	GH23539	PBM	N
M00056_2.00	GH24051	PBM	N
M00056_2.00	GF21193	PBM	N
M00056_2.00	GJ10606	PBM	N
M00056_2.00	GF12736	PBM	N
M00056_2.00	GL17060	PBM	N
M00056_2.00	GA30521	PBM	N
M00056_2.00	GD25245	PBM	N
M00056_2.00	GF12737	PBM	N
M00056_2.00	GF21089	PBM	N
M00056_2.00	GD25243	PBM	N
M00056_2.00	GD25082	PBM	N
M00056_2.00	GF12393	PBM	N
M00056_2.00	GF13323	PBM	N
M00056_2.00	GD25001	PBM	N
M00056_2.00	GK25107	PBM	N
M00056_2.00	GF20646	PBM	N
M00056_2.00	GH11236	PBM	N
M00056_2.00	GD23036	PBM	N
M00056_2.00	GF14108	PBM	N
M00056_2.00	GL16839	PBM	N
M00056_2.00	GD23020	PBM	N
M00056_2.00	GH11220	PBM	N
M00056_2.00	GF15026	PBM	N
M00056_2.00	GK24958	PBM	N
M00056_2.00	GH11036	PBM	N
M00056_2.00	GF20486	PBM	N
M00056_2.00	GI24758	PBM	N
M00056_2.00	GM21295	PBM	N
M00056_2.00	GE19264	PBM	N
M00056_2.00	GL14778	PBM	N
M00056_2.00	GH19876	PBM	N
M00056_2.00	GK24418	PBM	N
M00056_2.00	GG19028	PBM	N
M00056_2.00	en	PBM	N
M00056_2.00	GE16810	PBM	N
M00056_2.00	GE12367	PBM	N
M00056_2.00	GM10159	PBM	N
M00056_2.00	GI18136	PBM	N
M00056_2.00	GK15860	PBM	N
M00056_2.00	unpg	PBM	N
M00056_2.00	GM12794	PBM	N
M00056_2.00	GH20193	PBM	N
M00056_2.00	GE16946	PBM	N
M00056_2.00	GL27262	PBM	N
M00056_2.00	GK25621	PBM	N
M00056_2.00	GK25622	PBM	N
M00056_2.00	GI18568	PBM	N
M00056_2.00	GE12148	PBM	N
M00056_2.00	GK17836	PBM	N
M00056_2.00	GG12166	PBM	N
M00056_2.00	GA14690	PBM	N
M00056_2.00	GH18901	PBM	N
M00056_2.00	GK10184	PBM	N
M00056_2.00	GA10023	PBM	N
M00056_2.00	GH24786	PBM	N
M00056_2.00	GI15515	PBM	N
M00056_2.00	GK11900	PBM	N
M00056_2.00	GE13762	PBM	N
M00056_2.00	GE13516	PBM	N
M00056_2.00	GA10822	PBM	N
M00056_2.00	GI14688	PBM	N
M00056_2.00	GH19875	PBM	N
M00056_2.00	GE13763	PBM	N
M00056_2.00	GM12642	PBM	N
M00056_2.00	GA10896	PBM	N
M00056_2.00	GA10035	PBM	N
M00056_2.00	GH22006	PBM	N
M00056_2.00	GI16434	PBM	N
M00056_2.00	GI14686	PBM	N
M00056_2.00	GE16412	PBM	N
M00056_2.00	GA13956	PBM	N
M00056_2.00	GG19131	PBM	N
M00056_2.00	GE16769	PBM	N
M00056_2.00	GK10326	PBM	N
M00056_2.00	GK13741	PBM	N
M00056_2.00	GA15116	PBM	N
M00056_2.00	GH21390	PBM	N
M00056_2.00	GE11517	PBM	N
M00056_2.00	GI19766	PBM	N
M00056_2.00	GM15291	PBM	N
M00056_2.00	GE10608	PBM	N
M00056_2.00	GE17435	PBM	N
M00056_2.00	en	PBM	N
M00056_2.00	GM15498	PBM	N
M00056_2.00	GK19597	PBM	N
M00056_2.00	otp	PBM	N
M00056_2.00	GG19984	PBM	N
M00056_2.00	GE11607	PBM	N
M00056_2.00	GH24785	PBM	N
M00056_2.00	GI19825	PBM	N
M00056_2.00	GH20500	PBM	N
M00056_2.00	GG18769	PBM	N
M00056_2.00	ro	PBM	N
M00056_2.00	GH18559	PBM	N
M00056_2.00	GE17381	PBM	N
M00056_2.00	GG18050	PBM	N
M00056_2.00	GA17327	PBM	N
M00056_2.00	GK22074	PBM	N
M00056_2.00	en	PBM	N
M00056_2.00	GM13524	PBM	N
M00056_2.00	GG18493	PBM	N
M00056_2.00	en	PBM	N
M00056_2.00	OdsH	PBM	N
M00056_2.00	GI19827	PBM	N
M00056_2.00	GG20068	PBM	N
M00056_2.00	GM15584	PBM	N
M00056_2.00	GA15474	PBM	N
M00056_2.00	GH20573	PBM	N
M00056_2.00	GK22387	PBM	N
M00056_2.00	GI19710	PBM	N
M00056_2.00	GJ22545	PBM	N
M00056_2.00	GG11670	PBM	N
M00056_2.00	GA16115	PBM	N
M00066_2.00	GM26172	PBM	N
M00066_2.00	GF17463	PBM	N
M00066_2.00	GJ23659	PBM	N
M00066_2.00	GK11555	PBM	N
M00066_2.00	GE24689	PBM	N
M00066_2.00	GA19507	PBM	N
M00066_2.00	GI24030	PBM	N
M00066_2.00	GH18452	PBM	N
M00066_2.00	GG17288	PBM	N
M00070_2.00	GE20028	PBM	N
M00070_2.00	GF12887	PBM	N
M00070_2.00	GA21052	PBM	N
M00070_2.00	GE20027	PBM	N
M00070_2.00	GK17145	PBM	N
M00070_2.00	GK21748	PBM	N
M00070_2.00	GA20281	PBM	N
M00070_2.00	GK22609	PBM	N
M00070_2.00	GA13810	PBM	N
M00070_2.00	GA19209	PBM	N
M00070_2.00	GE20029	PBM	N
M00070_2.00	Sox100B	PBM	N
M00070_2.00	GK24531	PBM	N
M00070_2.00	GE14503	PBM	N
M00070_2.00	GA15918	PBM	N
M00070_2.00	GE25659	PBM	N
M00070_2.00	GE14354	PBM	N
M00070_2.00	GA23525	PBM	N
M00070_2.00	GA14769	PBM	N
M00070_2.00	Sox102F	PBM	N
M00070_2.00	GA30228	PBM	N
M00070_2.00	GA10800	PBM	N
M00070_2.00	GE10918	PBM	N
M00070_2.00	GE12330	PBM	N
M00070_2.00	GE18794	PBM	N
M00070_2.00	GM16076	PBM	N
M00070_2.00	GF12898	PBM	N
M00070_2.00	GD21559	PBM	N
M00070_2.00	GI11536	PBM	N
M00070_2.00	GD19345	PBM	N
M00070_2.00	GI11537	PBM	N
M00070_2.00	GD15457	PBM	N
M00070_2.00	GI11538	PBM	N
M00070_2.00	GD12630	PBM	N
M00070_2.00	GI14086	PBM	N
